"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 14 12:18:56 IST 2023","Fri Jul 14 12:18:56 IST 2023","3","","trail","","","","newsmoke",""
"broken","Fri Jul 14 15:23:30 IST 2023","Fri Jul 14 15:23:30 IST 2023","90","","readdata","","","","writedata",""
"passed","Fri Jul 14 12:18:56 IST 2023","Fri Jul 14 12:18:56 IST 2023","8","","trail","","","","newtrail smoke",""
"broken","Fri Jul 14 15:23:30 IST 2023","Fri Jul 14 15:23:30 IST 2023","83","","readdata","","","","readdata",""
